F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,age,Z
4.589E-20,4.34659E-20,4.13672E-20,3.35582E-20,2.57669E-20,2.67725E-20,2.08423E-20,1.57295E-20,7.13869E-21,4.28432E-21,2.60559E-21,6.31E+06,0.00028
2.62728E-20,2.45271E-20,2.34514E-20,1.90535E-20,1.46414E-20,1.51598E-20,1.18828E-20,9.40029E-21,4.28083E-21,2.60467E-21,1.62953E-21,1.00E+07,0.00028
1.49528E-20,1.40769E-20,1.35773E-20,1.13535E-20,9.06441E-21,9.34093E-21,7.641E-21,6.992E-21,3.54107E-21,2.35311E-21,1.63393E-21,1.59E+07,0.00028
8.47871E-21,8.13316E-21,7.87618E-21,6.83176E-21,5.89872E-21,6.01348E-21,5.16082E-21,5.92037E-21,3.83096E-21,3.06134E-21,2.52796E-21,2.51E+07,0.00028
5.25189E-21,5.10996E-21,4.94077E-21,4.38768E-21,3.8007E-21,3.86697E-21,3.47393E-21,4.67683E-21,3.98785E-21,3.71482E-21,3.61842E-21,3.98E+07,0.00028
3.01615E-21,2.96234E-21,2.90717E-21,2.6921E-21,2.44869E-21,2.47238E-21,2.31101E-21,3.41838E-21,2.26866E-21,1.81436E-21,1.49397E-21,6.31E+07,0.00028
1.76291E-21,1.76449E-21,1.74082E-21,1.67936E-21,1.60467E-21,1.6088E-21,1.59435E-21,2.74271E-21,2.12935E-21,1.94662E-21,1.76105E-21,1.00E+08,0.00028
9.86129E-22,1.0058E-21,1.01006E-21,1.01194E-21,1.02274E-21,1.01805E-21,1.07794E-21,2.14278E-21,1.84776E-21,1.79089E-21,1.70296E-21,1.59E+08,0.00028
5.34034E-22,5.58676E-22,5.66072E-22,6.0067E-22,6.39204E-22,6.29137E-22,7.22339E-22,1.63777E-21,1.50556E-21,1.44985E-21,1.38686E-21,2.51E+08,0.00028
2.76581E-22,2.97754E-22,3.07997E-22,3.46482E-22,3.94755E-22,3.89202E-22,4.79698E-22,1.26677E-21,1.1974E-21,1.15564E-21,1.09914E-21,3.98E+08,0.00028
1.31598E-22,1.46844E-22,1.6006E-22,1.94678E-22,2.42596E-22,2.35011E-22,3.17534E-22,9.48907E-22,9.115E-22,8.68103E-22,8.0484E-22,6.31E+08,0.00028
5.55655E-23,6.41298E-23,7.39537E-23,1.05709E-22,1.48251E-22,1.42606E-22,2.16591E-22,7.00186E-22,7.45416E-22,7.40263E-22,6.97128E-22,1.00E+09,0.00028
2.05015E-23,2.58819E-23,3.18805E-23,5.06872E-23,7.96464E-23,7.78236E-23,1.38955E-22,4.80508E-22,6.47629E-22,6.80457E-22,6.71124E-22,1.59E+09,0.00028
4.76976E-24,7.09626E-24,1.24877E-23,2.60086E-23,4.68399E-23,4.61293E-23,9.43529E-23,3.40222E-22,5.2839E-22,5.68716E-22,5.76407E-22,2.51E+09,0.00028
8.22998E-25,1.3481E-24,4.06407E-24,1.35796E-23,2.79732E-23,2.73862E-23,6.09545E-23,2.16642E-22,3.60613E-22,3.92223E-22,3.99925E-22,3.98E+09,0.00028
1.73301E-25,2.85222E-25,1.08831E-24,6.76518E-24,1.65342E-23,1.63634E-23,4.06536E-23,1.42875E-22,2.63088E-22,2.9539E-22,3.0275E-22,6.31E+09,0.00028
4.82863E-26,7.59697E-26,3.11906E-25,3.49627E-24,9.86202E-24,9.73518E-24,2.72626E-23,9.85489E-23,1.92461E-22,2.17914E-22,2.29849E-22,1.00E+10,0.00028
6.50455E-25,8.71744E-25,1.2301E-24,3.20926E-24,7.47809E-24,7.47469E-24,1.97647E-23,7.74388E-23,1.52184E-22,1.74659E-22,1.85441E-22,1.59E+10,0.00028
7.91963E-20,7.58711E-20,7.30884E-20,6.20477E-20,5.02281E-20,5.18759E-20,4.43787E-20,5.83582E-20,4.46776E-20,3.66918E-20,2.86517E-20,3.98E+06,0.00049
4.69709E-20,4.46826E-20,4.30989E-20,3.52078E-20,2.70765E-20,2.81742E-20,2.19388E-20,1.69184E-20,7.74797E-21,4.65652E-21,2.89283E-21,6.31E+06,0.00049
2.65642E-20,2.47527E-20,2.40779E-20,1.96275E-20,1.529E-20,1.5856E-20,1.25458E-20,1.01088E-20,4.81704E-21,3.03859E-21,2.05321E-21,1.00E+07,0.00049
1.4738E-20,1.39229E-20,1.35427E-20,1.14425E-20,9.24654E-21,9.55047E-21,7.87661E-21,7.65018E-21,3.96362E-21,2.66902E-21,1.86141E-21,1.59E+07,0.00049
8.28132E-21,7.98211E-21,7.77135E-21,6.77521E-21,5.86484E-21,5.96724E-21,5.25288E-21,6.3535E-21,5.25972E-21,5.16271E-21,5.08459E-21,2.51E+07,0.00049
4.98895E-21,4.87694E-21,4.77215E-21,4.31441E-21,3.8361E-21,3.88755E-21,3.56968E-21,4.99698E-21,4.41007E-21,4.32037E-21,4.44462E-21,3.98E+07,0.00049
2.86484E-21,2.83993E-21,2.7903E-21,2.63386E-21,2.44591E-21,2.46112E-21,2.37518E-21,3.68646E-21,2.62435E-21,2.23775E-21,1.90023E-21,6.31E+07,0.00049
1.63876E-21,1.64636E-21,1.64421E-21,1.60153E-21,1.56318E-21,1.56334E-21,1.59138E-21,2.90552E-21,2.24324E-21,1.98506E-21,1.75879E-21,1.00E+08,0.00049
9.08506E-22,9.33559E-22,9.38047E-22,9.58884E-22,9.69425E-22,9.68751E-22,1.06136E-21,2.23763E-21,1.96648E-21,1.871E-21,1.79059E-21,1.59E+08,0.00049
4.87373E-22,5.10431E-22,5.2245E-22,5.60879E-22,6.06407E-22,5.98947E-22,7.07789E-22,1.70666E-21,1.58439E-21,1.54898E-21,1.47952E-21,2.51E+08,0.00049
2.49498E-22,2.69057E-22,2.82025E-22,3.23012E-22,3.70558E-22,3.65139E-22,4.66127E-22,1.25169E-21,1.23172E-21,1.19293E-21,1.1326E-21,3.98E+08,0.00049
1.16885E-22,1.30155E-22,1.43327E-22,1.80426E-22,2.29373E-22,2.22063E-22,3.11728E-22,9.49119E-22,9.46006E-22,9.29825E-22,8.66803E-22,6.31E+08,0.00049
4.96462E-23,5.83749E-23,6.52852E-23,9.31729E-23,1.33116E-22,1.30249E-22,2.11421E-22,6.73186E-22,8.25677E-22,9.01444E-22,9.1797E-22,1.00E+09,0.00049
1.70848E-23,2.23626E-23,2.8234E-23,4.49313E-23,7.03658E-23,6.93577E-23,1.30598E-22,4.60347E-22,6.62963E-22,7.20309E-22,7.33911E-22,1.59E+09,0.00049
3.04096E-24,4.75814E-24,1.00835E-23,2.27674E-23,4.09604E-23,4.10162E-23,8.70555E-23,3.18686E-22,5.0048E-22,5.43668E-22,5.55407E-22,2.51E+09,0.00049
5.56239E-25,9.21107E-25,3.10043E-24,1.17297E-23,2.40973E-23,2.42367E-23,5.68326E-23,2.0776E-22,3.58635E-22,3.98811E-22,4.11874E-22,3.98E+09,0.00049
1.23661E-25,2.0169E-25,7.97428E-25,5.69627E-24,1.40523E-23,1.41619E-23,3.77787E-23,1.36276E-22,2.58786E-22,2.94375E-22,3.12124E-22,6.31E+09,0.00049
