f_APID,APID,RAJ2000_1,DEJ2000_1,Rap,Reff,fcl_g,PCID,AltID,mcor,f275w_ul,f275w_vega,f275w_err,f336w_ul,f336w_vega,f336w_err,f475w_ul,f475w_vega,f475w_err,f814w_ul,f814w_vega,f814w_err,f110w_ul,f110w_vega,f110w_err,f160w_ul,f160w_vega,f160w_err,Cl,Mcat,Simbad,recno,RA_UVIT (deg),RA_std (deg),DEC_UVIT (deg),DEC_std (deg),F148W_AB,F148W_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err,Separation_1,Region
,2583B,10.89956611,41.403715,1.42,0.19,0.68,0,,0,,18.51,0.01,,18.7,0.01,,19.83,0.04,>,20.41,0.13882075,>,18.12,0.1503876,>,16.99,0.15390909,,0,Simbad,1659,10.89948,7.04E-05,41.40372029,6.34E-05,20.55484938,0.075280556,20.18706321,0.067106291,20.2972374,0.093511549,20.20731536,0.130168162,20.129057,0.055120112,0.23328738,1
,98,10.90495694,41.17478389,2.18,0.45,0.98,0,,0,,17.56,0.02,,17.42,0.04,,17.67,0.02,,16.93,0.08,,16.78,0.19,,16.46,0.33,,0,Simbad,74,10.90493316,2.56E-05,41.174739,2.37E-05,20.1049624,0.07354395,19.39918712,0.051575237,19.84541419,0.078433538,18.92836107,0.075573766,19.66481705,0.047124887,0.173998602,1
,390A,10.91157889,41.38072611,2.45,0.78,0.95,0,,-0.03,,16.32,0.04,,16.49,0.04,,17.22,0.03,,16.76,0.05,,16.37,0.12,,15.85,0.19,,0,Simbad,289,10.91151789,4.01E-05,41.38065408,1.00E-04,18.19995912,0.025116769,18.54803968,0.049400964,17.84496469,0.041556489,17.75127522,0.036184551,,,0.307238087,2
,390B,10.91157889,41.38072611,2.45,0.78,0.95,0,,-0.03,,16.32,0.04,,16.49,0.04,,17.22,0.03,,16.76,0.05,,16.37,0.12,,15.85,0.19,,0,Simbad,289,10.91147237,6.89E-05,41.38070386,2.54E-05,18.35383922,0.070750596,17.80336832,0.036450599,18.09696366,0.046175427,17.89880543,0.051480176,18.31566171,0.033627679,0.298672159,1
,2542,10.91213889,41.50266111,1.29,0.39,0.71,0,,-0.02,,20.81,0.08,,20.78,0.11,,20.9,0.15,>,19.6,0.13882075,>,18.52,0.1503876,>,17.54,0.15390909,,0,Simbad,1632,10.91200945,7.11E-05,41.50269864,6.95E-05,22.67884792,0.06912067,22.74718599,0.231149066,22.16190129,0.211391085,22.60157123,0.296860142,,,0.374213166,2
,1337A,10.91383611,41.38700889,1.42,0.26,0.8,0,,0,,16.66,0.01,,16.98,0.01,,18.33,0.03,,18.14,0.08,,16.96,0.11,,16.01,0.1,,0,Simbad,905,10.9137803,3.70E-05,41.3869359,8.76E-05,18.44539756,0.025458377,18.70163402,0.051048306,20.14593567,0.087994867,18.01764171,0.039869999,,,0.302929316,2
,1337B,10.91383611,41.38700889,1.42,0.26,0.8,0,,0,,16.66,0.01,,16.98,0.038844764,,18.33,0.03,,18.14,0.08,,16.96,0.11,,16.01,0.1,,0,Simbad,905,10.91376662,5.93E-05,41.38698033,3.12E-05,18.73025359,0.071043825,18.33716433,0.039763442,18.19756406,0.047218816,18.26519539,0.058542928,18.49432198,0.03478389,0.21401227,1
E,693,10.91408889,41.16914,3.09,0.62,0.92,0,SK138B,0,,15.76,0.02,,15.84,0.02,,16.57,0.02,,16,0.04,,15.62,0.08,,15.36,0.1,Cl,1,Simbad,495,10.91397926,3.63E-05,41.16899981,3.08E-05,18.47917798,0.070837315,18.0855345,0.038034851,20.12012351,0.08716693,19.03245917,0.078830405,18.26260964,0.03331264,0.585632919,1
,2415,10.91663889,41.20125389,1.59,0.28,0.69,0,,0,,18.29,0.08,,18.44,0.08,,19.65,0.08,,19.27,0.18,>,18.44,0.1503876,>,17.53,0.15390909,,0,Simbad,1559,10.91667859,2.44E-05,41.20124254,3.29E-05,20.05326307,0.073384629,19.75089505,0.057631901,20.23073314,0.091059932,19.80660002,0.10924705,20.06941608,0.053968875,0.115024473,1
,2309,10.91702694,41.50246694,1.89,0.4,0.73,0,,0,,17.6,0.01,,17.94,0.01,,19.37,0.03,>,18.96,0.13882075,>,17.5,0.1503876,>,16.45,0.15390909,,0,Simbad,1493,10.91697841,6.96E-05,41.50249126,1.48E-05,19.28399051,0.027342278,19.44051192,0.061877944,18.96498439,0.056655121,19.08545694,0.061205306,,,0.157447686,2
,844,10.91907389,41.43061694,1.5,0.44,0.9,0,,-0.02,,18.59,0.01,,18.58,0.01,,19.13,0.04,,17.84,0.09,,17.3,0.18,,16.52,0.1,,0,Simbad,597,10.91904254,1.16E-04,41.43054196,1.98E-05,20.58850496,0.034313612,21.06189527,0.11126838,20.64592673,0.108361402,20.00153595,0.091162945,,,0.282889486,2
,3692,10.92548889,41.43112306,1.58,0.49,0.6,0,,-0.03,,18.18,0.03,,18.41,0.01,,19.6,0.06,>,19.27,0.13882075,>,17.81,0.1503876,>,16.79,0.15390909,,0,Simbad,2244,10.92548439,6.96E-05,41.43109896,2.11E-05,19.91583619,0.029892367,20.17579104,0.078917225,19.70381051,0.073864637,19.61740015,0.076967381,,,0.08758761,2
,5023A,10.92580889,41.38666694,1.32,0.23,0.46,0,,0,,17.48,0.01,,17.86,0.02,,19.52,0.04,>,20.72,0.13882075,>,18.2,0.1503876,>,17.18,0.15390909,,0,Simbad,2684,10.92568672,3.85E-05,41.38659836,7.92E-05,18.80478345,0.026108113,18.9306118,0.053855765,20.45650807,0.100036813,18.91304569,0.056923465,,,0.412124383,2
,5023B,10.92580889,41.38666694,1.32,0.23,0.46,0,,0,,17.48,0.01,,17.86,0.02,,19.52,0.04,>,20.72,0.13882075,>,18.2,0.1503876,>,17.18,0.15390909,,0,Simbad,2684,10.92567015,5.67E-05,41.38664959,3.82E-05,18.97058675,0.071290863,18.68000531,0.04269099,18.81448011,0.055426631,19.15402151,0.082860287,18.91913844,0.038204161,0.379895684,1
