F148W,F169M,F172M,N219M,N279N,u_prime,g_prime,r_prime,i_prime,z_prime,IRAC1,IRAC2,age,Z
7.89E-25,1.28E-24,4.27E-24,1.55E-23,2.87E-23,8.97416E-23,2.66683E-22,4.02394E-22,4.70597E-22,5.13647E-22,1.88658E-22,8.3755E-23,2.51E+09,0.00155
1.86E-25,2.99E-25,1.17E-24,7.19E-24,1.56E-23,5.84361E-23,1.73387E-22,2.78364E-22,3.35744E-22,3.69446E-22,1.42194E-22,6.34086E-23,3.98E+09,0.00155
4.46E-26,7.14E-26,3.06E-25,3.45E-24,8.64E-24,4.37994E-23,2.81303E-22,8.59118E-22,1.3259E-21,1.72342E-21,1.14705E-21,4.95079E-22,6.31E+09,0.00155
1.04E-26,1.63E-26,7.46E-26,1.61E-24,5.21E-24,6.11466E-23,5.46774E-22,1.50559E-21,2.11174E-21,2.57924E-21,1.34016E-21,5.81132E-22,1.00E+10,0.00155
2.70E-27,4.23E-27,1.89E-26,9.03E-25,4.25E-24,8.98777E-23,6.23348E-22,1.47145E-21,2.05552E-21,2.47069E-21,1.10096E-21,4.89715E-22,1.59E+10,0.00155
7.10E-20,6.66E-20,6.58E-20,5.60E-20,4.36E-20,4.74289E-20,8.78189E-20,1.05E-19,1.14287E-19,1.15928E-19,2.93509E-20,1.37739E-20,3.98E+06,0.00274
4.36E-20,4.11E-20,4.15E-20,3.62E-20,2.95E-20,2.72988E-20,3.19839E-20,2.70768E-20,2.39697E-20,2.15785E-20,4.19077E-21,1.87531E-21,6.31E+06,0.00274
2.63E-20,2.45E-20,2.46E-20,2.15E-20,1.80E-20,1.61435E-20,1.65954E-20,1.1891E-20,9.27849E-21,7.79997E-21,1.09562E-21,4.9973E-22,1.00E+07,0.00274
1.36E-20,1.30E-20,1.29E-20,1.15E-20,9.96E-21,9.16666E-21,1.02418E-20,8.98175E-21,8.67123E-21,8.59128E-21,3.41551E-21,1.43691E-21,1.59E+07,0.00274
7.21E-21,6.91E-21,6.86E-21,6.18E-21,5.40E-21,5.40746E-21,7.94715E-21,8.13724E-21,8.72543E-21,9.24878E-21,3.90696E-21,1.75989E-21,2.51E+07,0.00274
