f275w_ul,f275w_vega,f275w_err_orig,f275w_err,,f336w_ul,f336w_vega,f336w_err_orig,f336w_err,,f475w_ul,f475w_vega,f475w_err_orig,f475w_err,,f814w_ul,f814w_vega,f814w_err_orig,f814w_err,,f110w_ul,f110w_vega,f110w_err_orig,f110w_err,,f160w_ul,f160w_vega,f160w_err_orig,f160w_err,,F148W_ul,F148W_AB,F148W_err,,F172M_ul,F172M_AB,F172M_err,,N219M_ul,N219M_AB,N219M_err,,N279N_ul,N279N_AB,N279N_err,,F169M_ul,F169M_AB,F169M_err_orig,F169M_err
 ,16.22,0.03,0.03,, ,16.51,0.03,0.03,, ,18.06,0.04,0.04,, ,18.26,0.15,0.15,,>,18.56,,0.01,,>,17.1,,0.01,,,18.32238115,0.041159389,,,18.25386848,0.050633414,,,18.91395252,0.071983021,,,,,,,,,0.01
 ,17.61,0.02,0.02,, ,16.52,0.02,0.02,, ,16.04,0.01,0.01,, ,14.44,0.02,0.02,, ,13.87,0.03,0.03,, ,13.15,0.04,0.04,,,21.93884821,0.051911018,,,22.0799078,0.171810598,,,20.62433296,0.107372243,,,,,,,,,0.01
 ,16.81,0.02,0.02,, ,17.03,0.03,0.03,, ,18.08,0.03,0.03,, ,16.73,0.04,0.04,, ,15.93,0.05,0.05,, ,14.97,0.05,0.05,,,18.9004116,0.071213088,,,18.40273001,0.040269084,,,18.59970632,0.052184927,,,,,,,17.86598327,0.037665326,0.037665326
 ,15.76,0.02,0.02,, ,15.84,0.02,0.02,, ,16.57,0.02,0.02,, ,16,0.04,0.04,, ,15.62,0.08,0.08,, ,15.36,0.1,0.1,,,18.47917798,0.070837315,,,18.0855345,0.038034851,,,20.12012351,0.08716693,,,,,,,17.26860964,0.03331264,0.03331264
 ,18.09,0.07,0.07,, ,18.03,0.04,0.04,, ,19.04,0.01,0.01,, ,18.78,0.23,0.23,,>,17.96,,0.01,,>,16.83,,0.01,,,20.58746478,0.073337643,,,20.49361605,0.102838095,,,19.53918821,0.089714581,,,,,,,,,0.01
 ,19.12,0.01,0.01,, ,18.79,0.03,0.03,, ,18.91,0.03,0.03,, ,18.49,0.23,0.23,,>,18.12,,0.01,,>,17.26,,0.01,,,21.50825958,0.110702022,,,20.83451134,0.126299668,,,20.63769287,0.107410216,,,,,,,,,0.01
 ,19.12,0.01,0.01,, ,18.79,0.03,0.03,, ,18.91,0.03,0.03,, ,18.49,0.23,0.23,,>,18.12,,0.01,,>,17.26,,0.01,,,21.2880401,0.080012834,,,20.92169636,0.089209771,,,21.58891533,0.161724202,,,,,,,20.73235113,0.104496747,0.104496747
 ,19.42,0.04,0.04,, ,19.22,0.02,0.02,, ,19.13,0.01,0.01,, ,18.25,0.12,0.12,, ,17.61,0.26,0.26,, ,16.9,0.31,0.31,,,21.88383934,0.050886402,,,22.41569942,0.199318318,,,21.3987328,0.150277635,,,,,,,,,0.01
 ,18.9,0.04,0.04,, ,18.39,0.01,0.01,, ,18.79,0.02,0.02,, ,17.98,0.04,0.04,, ,17.05,0.02,0.02,, ,16.29,0.06,0.06,,,22.3954187,0.15897306,,,21.28495163,0.152383644,,,22.39260821,0.225359012,,,,,,,,,0.01
 ,18.9,0.04,0.04,, ,18.39,0.01,0.01,, ,18.79,0.02,0.02,, ,17.98,0.04,0.04,, ,17.05,0.02,0.02,, ,16.29,0.06,0.06,,,21.73833243,0.08468373,,,21.39461731,0.10860151,,,21.56905708,0.160315765,,,,,,,20.49339431,0.094331481,0.094331481
 ,17.8,0.01,0.01,, ,16.8,0.01,0.01,, ,16.39,0.01,0.01,, ,14.83,0.01,0.01,, ,14.25,0.01,0.01,, ,13.55,0.01,0.01,,,21.23264726,0.040929987,,,21.94468024,0.161926956,,,20.54163662,0.103680853,,,,,,,,,0.01
