F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,,,ageuniq,Zuniq,ageconv,Zconv
5.67269E-21,5.5114E-21,5.36449E-21,4.90063E-21,4.3455E-21,4.39845E-21,4.05545E-21,1.24952E-20,5.84045E-21,6.31304E-21,6.95514E-21,,,34800000,0.00045,0.754157924,-1.662757832
2.89094E-21,2.89225E-21,2.84922E-21,2.71359E-21,2.51383E-21,2.5371E-21,2.48176E-21,8.76073E-21,3.18093E-21,2.74691E-21,2.45062E-21,,,59800000,0.00076,0.777670118,-1.435156753
1.47982E-21,1.49751E-21,1.49155E-21,1.47742E-21,1.45113E-21,1.45488E-21,1.51923E-21,6.33018E-21,2.48994E-21,2.31756E-21,2.17197E-21,,,103000000,0.00129,0.801283722,-1.205380635
7.22855E-22,7.50489E-22,7.60823E-22,7.93465E-22,8.19631E-22,8.17787E-22,9.20334E-22,4.47219E-21,1.99647E-21,1.95551E-21,1.88975E-21,,,177000000,0.00218,0.824797327,-0.977513852
3.46248E-22,3.67962E-22,3.80806E-22,4.26019E-22,4.73343E-22,4.66755E-22,5.79452E-22,3.14954E-21,1.45564E-21,1.44957E-21,1.41055E-21,,,304000000,0.00368,0.848287358,-0.750122527
1.48735E-22,1.63326E-22,1.74988E-22,2.17576E-22,2.66866E-22,2.62333E-22,3.62296E-22,2.27721E-21,1.08784E-21,1.07867E-21,1.04781E-21,,,522000000,0.00619,0.87176705,-0.524279696
5.57713E-23,6.48528E-23,7.23817E-23,1.00251E-22,1.39025E-22,1.3698E-22,2.25174E-22,1.50597E-21,8.60728E-22,9.33416E-22,9.55979E-22,,,897000000,0.01035,0.895279244,-0.301029996
1.45591E-23,1.9593E-23,2.65742E-23,4.32883E-23,6.75492E-23,6.79726E-23,1.3389E-22,1.04356E-21,7.69155E-22,8.9989E-22,9.8043E-22,,,1540000000,0.01712,0.918752072,-0.082466585
1.40899E-24,2.28819E-24,6.40211E-24,1.82315E-23,3.39719E-23,3.44101E-23,7.82172E-23,6.32001E-22,5.04463E-22,5.65164E-22,6.0027E-22,,,2650000000,0.00016,0.942324587,-2.111850363
6.212E-25,7.49452E-25,1.82124E-24,8.67496E-24,1.87471E-23,1.93172E-23,5.1682E-23,5.7485E-22,7.99582E-22,1.07039E-21,1.32048E-21,,,4560000000,0.00026,0.965896484,-1.900996997
