F148W,F169M,F172M,N219M,N279N,uprime,gprime,rprime,iprime,zprime,IRAC1,IRAC2,ageconv,Zconv
9.41025E-24,1.33912E-23,2.18153E-23,3.7866E-23,6.1767E-23,1.80943E-22,5.45622E-22,7.79365E-22,8.81986E-22,9.85904E-22,4.74298E-22,3.36475E-22,0.918752072,-1.205380635
7.791E-25,1.27302E-24,4.20111E-24,1.50553E-23,2.85328E-23,9.00794E-23,2.63728E-22,3.97151E-22,4.64227E-22,5.04546E-22,1.77519E-22,1.10388E-22,0.942324587,-1.205380635
1.49255E-25,2.39417E-25,9.51085E-25,6.44398E-24,1.43768E-23,5.31057E-23,1.55311E-22,2.50498E-22,3.02148E-22,3.31125E-22,1.21166E-22,7.57536E-23,0.965896484,-1.205380635
2.68442E-26,4.34586E-26,1.91743E-25,2.72449E-24,7.78514E-24,6.87812E-23,5.49365E-22,1.44432E-21,1.98967E-21,2.39226E-21,1.10394E-21,6.70652E-22,0.989431606,-1.205380635
5.07377E-27,7.93678E-27,3.61052E-26,1.18759E-24,4.74177E-24,7.7536E-23,6.05144E-22,1.54651E-21,2.12452E-21,2.56437E-21,1.15853E-21,7.05151E-22,1.013033377,-1.205380635
7.10435E-20,6.62035E-20,6.48532E-20,5.3573E-20,4.11537E-20,4.4754E-20,8.6686E-20,1.09258E-19,1.17945E-19,1.19994E-19,3.01236E-20,1.96653E-20,0.659988307,-0.977513852
4.21081E-20,3.93071E-20,3.92656E-20,3.50557E-20,2.8752E-20,2.57299E-20,2.7339E-20,2.05833E-20,1.68977E-20,1.44366E-20,2.057E-21,1.3202E-21,0.68350561,-0.977513852
2.07564E-20,1.93578E-20,1.96948E-20,1.74445E-20,1.43944E-20,1.31814E-20,1.39807E-20,1.01875E-20,8.14983E-21,6.9607E-21,1.04925E-21,6.58848E-22,0.707188201,-0.977513852
9.84641E-21,9.48832E-21,9.37866E-21,8.42876E-21,7.34468E-21,6.83419E-21,8.1505E-21,7.68298E-21,7.48716E-21,7.6169E-21,2.89772E-21,1.71493E-21,0.730535137,-0.977513852
4.86255E-21,4.73596E-21,4.69506E-21,4.31855E-21,3.87569E-21,3.98471E-21,6.32618E-21,6.52428E-21,7.04384E-21,7.40092E-21,3.05786E-21,1.83875E-21,0.754157924,-0.977513852
2.47116E-21,2.46445E-21,2.45471E-21,2.35584E-21,2.21603E-21,2.47231E-21,4.34537E-21,4.18757E-21,4.02474E-21,3.98967E-21,1.14085E-21,6.93709E-22,0.777670118,-0.977513852
1.26606E-21,1.29032E-21,1.291E-21,1.30534E-21,1.28639E-21,1.54614E-21,2.84354E-21,2.92868E-21,2.89853E-21,2.95399E-21,1.02402E-21,6.96189E-22,0.801283722,-0.977513852
6.30913E-22,6.6136E-22,6.72144E-22,7.21274E-22,7.57095E-22,1.00903E-21,2.00301E-21,2.03672E-21,2.0784E-21,2.11978E-21,7.33308E-22,4.68943E-22,0.824797327,-0.977513852
2.91049E-22,3.15723E-22,3.27636E-22,3.78177E-22,4.30571E-22,6.65524E-22,1.44951E-21,1.49258E-21,1.49508E-21,1.51254E-21,4.89081E-22,3.06265E-22,0.848287358,-0.977513852
1.16665E-22,1.34179E-22,1.43526E-22,1.78394E-22,2.20172E-22,4.04711E-22,9.76917E-22,1.07489E-21,1.12727E-21,1.16214E-21,5.39899E-22,4.03524E-22,0.87176705,-0.977513852
3.44865E-23,4.39651E-23,5.45493E-23,7.71614E-23,1.06709E-22,2.37633E-22,6.43913E-22,7.6679E-22,8.22012E-22,8.66285E-22,4.7031E-22,3.55857E-22,0.895279244,-0.977513852
4.6658E-24,7.40044E-24,1.52438E-23,3.1919E-23,5.21044E-23,1.55445E-22,4.72136E-22,6.7082E-22,7.77208E-22,8.51832E-22,4.47439E-22,3.17839E-22,0.918752072,-0.977513852
3.81997E-25,6.31377E-25,2.31924E-24,1.14012E-23,2.25219E-23,7.94281E-23,2.41199E-22,3.79941E-22,4.52765E-22,5.01514E-22,1.93721E-22,1.19245E-22,0.942324587,-0.977513852
8.24711E-26,1.30044E-25,5.19046E-25,4.74348E-24,1.09851E-23,4.65082E-23,1.4316E-22,2.37668E-22,2.91864E-22,3.2366E-22,1.27097E-22,7.85704E-23,0.965896484,-0.977513852
1.4345E-26,2.25806E-26,1.00225E-25,1.91197E-24,5.54297E-24,4.81204E-23,4.54166E-22,1.32216E-21,1.89677E-21,2.34057E-21,1.25934E-21,7.67575E-22,0.989431606,-0.977513852
